subjID	level1_choice	level2_choice	reward
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	2.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	0
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	1
P0sijiwcv	1.0	1.0	1
P0sijiwcv	1.0	2.0	0
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	1.0	1.0	0
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	0
P1c0h9gr5	1.0	2.0	0
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	0
P1c0h9gr5	1.0	2.0	0
P1c0h9gr5	1.0	2.0	0
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	2.0	1
P1c0h9gr5	1.0	1.0	0
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	2.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	2.0	0
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	2.0	0
P1c0h9gr5	1.0	2.0	0
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	2.0	0
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	0
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	1.0	1
P1c0h9gr5	1.0	2.0	1
P1c0h9gr5	1.0	1.0	0
P1c0h9gr5	1.0	1.0	0
P1c0h9gr5	1.0	1.0	0
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	1.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	1.0	0
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	2.0	1
P1c0h9gr5	2.0	1.0	0
P1c0h9gr5	2.0	2.0	0
P1c0h9gr5	2.0	2.0	0
